carisma;title;authors;journal;year;doi;type
Nobile, E. G. L.;Flood risk assessment of cultural heritage across countries and spatial scales;Nobile, E. G. L., Figueiredo, R., Arrighi, C., Romao, X., and Martina, M. L. V;International Journal of Disaster Risk Reduction, 118, 105236;2025;https://doi.org/10.1016/j.ijdrr.2025.105236;journal article;
Nobile, E.;Review article: Towards multi-hazard and multi-risk indicators – a review and recommendations for development and implementation;White, C. J., Adnan, M. S. G., Arosio, M., Buller, S., Cha, Y., Ciurean, R., Crummy, J. M., Duncan, M., Gill, J., Kennedy, C., Nobile, E., Smale, L., and Ward, P. J.;Nat. Hazards Earth Syst. Sci., 25, 4263–4281;2025;https://doi.org/10.5194/nhess-25-4263-2025;journal article;
